didn't really eat lunch,Midodrine,Vitamins,Caffeine,Sugar,Ambien CR,Miralax low dose at night,Worked in evening,Ate crab,fuck yeah avocado,Indian food,climbed stairs,vitamin D tablets,ponstan,Netflix day,snuggles,Drank coffee,Cold Mask,Boswelia,Mt. Si ACDC 2x Coco Caps,sitting,therapy session,10K steps,skipped lunch,TigerBalm,psychologist,blowjob,Ibuprofen 800mg,Cambia,Slept most of the day,Hiking,asparagus,Chocolate after 6pm,Rest,Standing desk,cocodamol,masturbated,Diary,Ritalin,Low dose pain meds,bed day,Language Learning,Bicarb on scalp,walked around town,b12 shot,Lots of kitty love,Human Growth Hormone,fast food,Zolpidem,Solifenacin,Charcoal,Claritin,Pataday,Probiotic Gummy,skipped meals,Methylphenidate,cooking,Vitamin,creative writing,exercise,long sleep,Tetralabs Gold Caps CBN,Greens First Powder,BLT,no exercise,Buffered Salmon Oil - DHA - EPA,very active aqua class,Aga,raspberries,Valdoxan,linseed,ate dairy ,5 or more portions of fruit and veg,Puppies,eye drops,Meditation,Cleaning ,Off work,slept in,CBD,healthy dinner,CuraMed,Nortriptyline,studied,Coffee with sugar and cream,Computer for many hours,Ginger,drank wine,digestive enzyme,Ice pack,Prednesone,massage,Ropinirole,Diazepam,Yoga,hiking,buses,beans and baked potato,Vyvanse,day after weights,donut,decent sleep,played computer,had sex,Lying flat,Rock climbing,singing,N-Acelcysteine,Bactrim,Creatine,fry up breakfast,Ribose,Into the city,Lunch,Dermatologist,dairy,Deep Breathing,slept late,social gathering,sushi,11k steps,SAM-E,Trigger Points,ZMA,training,pasta and pesto,Tacrolimus,soy or tofu main dish eaten,eye compress,Flutiform,pancakes dinner,Folic acid,rebounding,salad,not great sleep,soup,Woodlock,over ate,Lots of travel,Tylenol,minestrone,Melatonin,Thyroid-Pro,TENS Unit,Wear shoulder brace,Bunny snuggles,Migraine Diet,allergy shot,walked the dogs,Valacyclovir,Went to the store,drank alcohol,Magnesium glycinate,Chiropractic adjustment,B12 timed release,ribs,travel,avocado bun,ate little,eye ointment,gluten free,hot,Lazy day,elliptical,Famotidine,Friends,pizza,Cat ,Topical ibuprofen,Enada,Wore arch supports all day,ate eggs,Ventolin,did 7 mins of exercise   woohoo,Astelin,Essential oils,heating pads,Candy,Norco,Wristies,stress,Iodine,doritos,Went out on adventures,mango,Athlete Vitamin,Colesevelam,Late sleep,watermelon,Adderall XR,Trip,Pristiq,Ex bike,cooked lunch,thanksgiving dinner,Fluvoxamine,Slept,Fluids,Osteopathy,vitamin c,floravit iron,drank lots of water,Meloxicam,Naproxen,Toprol,Amitriptyline,tumeric extract,Nabumetone,slept all night,pur-absorb iron,snuggly cat,Daily walk,Vitamin D3,smoothie,Esopram,Risperidone,avocado,Lavender oil,day at home,N-acetyl cysteine,depo-provera shot,alcohol yesterday,Hydroxychloroquine,distraction,coffee,Methylcobalamine,coco pops,Weighted Blanket,Womans balance,Cat,butternut squash risotto,Steps,party,fiber art - sewing,Tetralabs Gold Caps,Turmeric,read book,Flexeril,lifted weights,ate grains,12K Steps,Veggies,Hobbies,Corticosteroids,drank a lot,chewing gum,Panamax,gaming,Prilosec,Miralax low dose PM,Biest,Tramadol,med long run,eating out,laundry,took a bath ,ice cream,ASMR,Relaxing,Zofran,Clinda-derm,lots of desk work,Vitamin Gummies,windsurfing,Antihistamine,Work,antihistamines,Vitamin B complex - 50,Lamictal,grapes,Tavegyl,got stuff done,Breakfast,Walking,Medication,slimfast,Bovine colostrum,stir fry,Cymbalta,Biosil,Cerelle,Late lunch,Mezavant,sun exposure,Codeine-Panadol,Swam,no breakfast,Contraceptive pill,Pedicure,Board games,shopped,Vitamin d+calcium,Rehearsals,Tretinoin,Albuterol Inhaler,Calcium Suplment,Acetyl Carnitine,ironing,ate red meat,Extra Medications,Ondansetron,Exercise,trying to clean the house,Farm,washing up,ate pizza,Topiramate,Snooze,orange and verveine tea,banana,Valium,Multi vitamin,slept in chair,gym,coursera,slept >12 hrs,scary new shit,Deep rest,8.75 hours sleep,cereal,egg white dlite,long shopping  trip,nutella on toast,Mirtazapine,peppermint tea,television,Love,Snacks,Ultrasound,had sex ,magnesium ionic,Zinc,counselor,soft drink,Dicyclomine,Alcohol,B Complex,marijuana,had coffee,Lots of cleaning,Imodium,breakfast,5-htp,Flo-pred,Flight,no sleep,Monteluklast,severe pain,Ginkgo,Achy breaky rub,Zopiclone,dairy free,ate dairy,Piyo,Tensor Band,Writing,Pepto-bismol children's,slept long,strapping of shoulder,Awesome cheat day,twice baked potatoes,Magnesium citrate,ate breakfast,heavy physcial exertion,Cetraben cream,Gluten,Mersyndol Forte,archery,neuro,Calcium,hot dog,grocery shopping,cough syrup,drive,Groceries,Klaire Ther-biotic,bone broth,Paracetamol,Singing,Zantac,caffeine,My Goodness Organics meals,busy,Prednisone,Gym,sugar,Buspirone,cashews,Plaquenil,DLPA,Iceburg Lettuce,Vitamin b complex,Thyreoidum,haircut,Aloe Detox Water,ate gluten,ate three meals,Phenergan,Moringa,Same,Relpax,THC,Swimming,Allegra,Goth clubbing,shopping,Guarana & Ginseng,Marijuana,made challah,electric wheelchair,AOR Zinc-Copper Balance,Lexapro,Shoe Insoles,Medications,picnic,gluten free diet,fresh food,hummus sandwich and salad,Pancake Breakfast,baked a cake,Acetyl-l-carnitine,Cannabis CBD capsule 10mg,snack lunch,Tyrosine,Thyroxine,Strattera,Low oxalate,slept 12 hours,Synthroid,gluten ,12 hours sleep,Water,excedrin migraine,Dexedrine,Carbomer eye drops,yogurt,Complex b,Stayed in bed all day,field mushrooms and toast,Pet Therapy,Hike,Inderal,spicy mock beef,Vitamin C,Vitamin B,listen to music ,Probiotics,Pokemon go,Gabapentin,neck massage,breathing exercises,Klonopin,Cetirizine,Pain management,restaurant,Soy Sauce,Cranberry extract,Coenzyme q-10,rice noodles,Diclofenac,Vitamin e,Vitamin d,Counseling,Thyrax,Arby's,olive oil,danced,Triamcinolone,physical therapy,met a new cat,A little stressed,worked out,ice cream bar,adapten-all,Andrographis compound,church,olives,lots of walking,Clonazepam,Sisu B Calm,vacation,Physio,Fructose,Weather- rain,Citrucel,Drinking eight glasses or more of water,bbq,toast and vegg,Paracatamol with codeine,exercise bike,no caffeine,Chiropractic,woke up late,>50 oz water,Zoladex,Rather bad sleep,Glucosamine,Multivitamin,worked,veggie pizza,Tummy Tamers,holiday,Gardening,Quell Unit,grains,Sertraline,Cinema,sex,Allergy Shots,Ate poorly,fructose ,Ibuprofen,brushed dogs,dozed,BeachBody OnDemand,slept 8 hours!,aqua therapy,Selenium,Vacation,Sunlight,Nap,Bed at 11,Burbur-Pinella,mountain biking,rocky horror,Nasonex,Zolpidem ER,cooked breakfast,Hit 10k Steps,Took ibuprophen,Ecural,Vitamin a,weekend shopping,did some homework,Bunny cuddles,Magnesium amino acid chelate,active morning,had sex last night,Protecting back,Ranitidine,Went to walmart,Social interactions,Tian Ma Tou Tong - headache,Codeine,thyroid support complex,Daytime nap,Spironolactone,Voltaren,Migraine herb feverfew tablets,Corn on the cob,Iron,Lexam,psychiatrists,Freezie wrap,Singulair,ate at a restaurant,Physiotherapy,Wei Te Ling - heartburn,nachos,drawing,Multi-vitamin,played video games,Phyical Therapy - stretches,House cleaning,Cannabis,early night,Soluble Aspirin,Aspirin,Eyebright Complex,family,good breakfast,broken sleep,housework,First date,Feverfew,Clarithromycin,Gravol,DEHA,potato curries,Magnesium malate,corncakes,Probiotic,No milk,Stretching,Shampoo,carrot sticks,Dinner,Magnesium,Slept extra,Boswelia Complex,little breakfast,playing music,Gaba,home alone,crawled,Fish oil,spent day with others,Post-op ice device,caesar salad,Inositol,Home physio exercises,gardening,Buteyko  breathing exercises ,Dancing,No sleep,Folate,Aromatherapy,Beer,almonds,Acetaminophen,ate almonds,Coffee,pilates,Citalopram,Hydroxyzine,spinach risotto,MonoNessa,meds,SPD alternative treatments,Venlafaxine,Low-FODMAP diet,shoulder stretching,Green Vibrance,Slept well,Epsom Salts,Superlong nap,SAD Light Box,Equilibrant,coco pops with rice milk,Seeds,ate salsa,pasta,exercised,crafting,computer game,LUSH acne spot-treatment,Zomig,cuddles!,flaxseed and fybogel,Hydrocortisone,Vitamin b12,EnzymixPro,Ate Terribly,Methotrexate,Cardio,swimming,Went out on date,More stretching,L-methylfolate,10 hours sleep,Pepto-bismol,Florinef,Omeprazole,Acupuncture,Metformin,Magnesium gel,no sleep last night,sugar free diet,Brintellix,Pro Omega 2000 Fish Oil,went swimming,watched tv,Therapy,juiced,CoQ10,bunny cuddles,Oxynorm,gluten,Taco Bell,bubble and squeak roast,alverine,Tranexamic acid,Thyroid-Pro (CanPrev),half cupcake,heavy lifting,Escitalopram,stool softener,worked in garden,puppy training,hip abduction,rest day,Sumatriptan,Inolaxol,Cyclizine,new environment,Pantoprazole,prayer,birth control,Lithium,Iberogast,Fexofenadine,Darifenacin,yoga,cooked,B12 drops,Tylenol 3,chicken wild rice soup,lift x2,nap,Exercise--walking,Benadryl,dumpling stew,Cefaly Unit,Progesterone,Temazepam,fructose,Calcium citrate,Keppra,pool,Car travel,walked,big burger,Montelukast,Medical Marijuana,Sleep,long walk,Passionflower,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,climbed stairs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponstan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drank coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sitting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
